Country,Latitude,Longitude
Afghanistan,33.93911,67.709953
Albania,41.1533,20.1683
Algeria,28.0339,1.6596
Andorra,42.5063,1.5218
Angola,-11.2027,17.8739
Argentina,-38.4161,-63.6167
Armenia,40.0691,45.0382
Australia,-25.2744,133.7751
Austria,47.5162,14.5501
Azerbaijan,40.1431,47.5769
Bahamas,25.0343,-77.3963
Bahrain,26.0667,50.5577
Bangladesh,23.685,90.3563
Belarus,53.7098,27.9534
Belgium,50.5039,4.4699
Belize,17.1899,-88.4976
Benin,9.3077,2.3158
Bhutan,27.5142,90.4336
Bolivia,-16.2902,-63.5887
Bosnia and Herzegovina,43.9159,17.6791
Botswana,-22.3285,24.6849
Brazil,-14.235,-51.9253
Brunei,4.5353,114.7277
Bulgaria,42.7339,25.4858
Burkina Faso,12.2383,-1.5616
Burundi,-3.3731,29.9189
Cambodia,12.5657,104.991
Cameroon,7.3697,12.3547
Canada,56.1304,-106.3468
Chile,-35.6751,-71.543
China,35.8617,104.1954
Colombia,4.5709,-74.2973
Costa Rica,9.7489,-83.7534
Croatia,45.1,15.2
Cuba,21.5218,-77.7812
Cyprus,35.1264,33.4299
Czech Republic,49.8175,15.473
Denmark,56.2639,9.5018
Dominican Republic,18.7357,-70.1627
Ecuador,-1.8312,-78.1834
Egypt,26.8206,30.8025
El Salvador,13.7942,-88.8965
Estonia,58.5953,25.0136
Ethiopia,9.145,40.4897
Fiji,-17.7134,178.065
Finland,61.9241,25.7482
France,46.6034,1.8883
Germany,51.1657,10.4515
Ghana,7.9465,-1.0232
Greece,39.0742,21.8243
Greenland,71.7069,-42.6043
Guatemala,15.7835,-90.2308
Honduras,15.2,-86.2419
Hungary,47.1625,19.5033
Iceland,64.9631,-19.0208
India,20.5937,78.9629
Indonesia,-0.7893,113.9213
Iran,32.4279,53.688
Iraq,33.2232,43.6793
Ireland,53.1424,-7.6921
Israel,31.0461,34.8516
Italy,41.8719,12.5674
Jamaica,18.1096,-77.2975
Japan,36.2048,138.2529
Jordan,30.5852,36.2384
Kazakhstan,48.0196,66.9237
Kenya,-0.0236,37.9062
Kuwait,29.3117,47.4818
Kyrgyzstan,41.2044,74.7661
Laos,19.8563,102.4955
Latvia,56.8796,24.6032
Lebanon,33.8547,35.8623
Lesotho,-29.61,28.2336
Liberia,6.4281,-9.4295
Libya,26.3351,17.2283
Lithuania,55.1694,23.8813
Luxembourg,49.8153,6.1296
Madagascar,-18.7669,46.8691
Malawi,-13.2543,34.3015
Malaysia,4.2105,101.9758
Maldives,3.2028,73.2207
Mali,17.57,-3.9962
Malta,35.9375,14.3754
Mexico,23.6345,-102.5528
Moldova,47.4116,28.3699
Mongolia,46.8625,103.8467
Montenegro,42.7087,19.3744
Morocco,31.7917,-7.0926
Mozambique,-18.6657,35.5296
Myanmar,21.9162,95.956
Namibia,-22.9576,18.4904
Nepal,28.3949,84.124
Netherlands,52.1326,5.2913
New Zealand,-40.9006,174.886
Nicaragua,12.8654,-85.2072
Niger,17.6078,8.0817
Nigeria,9.082,8.6753
North Korea,40.3399,127.51
Norway,60.472,8.4689
Oman,21.4735,55.9754
Pakistan,30.3753,69.3451
Panama,8.5379,-80.7821
Paraguay,-23.4425,-58.4438
Peru,-9.19,-75.0152
Philippines,12.8797,121.774
Poland,51.9194,19.1451
Portugal,39.3999,-8.2245
Qatar,25.3548,51.1839
Romania,45.9432,24.9668
Russia,61.524,105.3188
Rwanda,-1.9403,29.8739
Saudi Arabia,23.8859,45.0792
Senegal,14.4974,-14.4524
Serbia,44.0165,21.0059
Singapore,1.3521,103.8198
Slovakia,48.669,19.699
Slovenia,46.1512,14.9955
South Africa,-30.5595,22.9375
South Korea,35.9078,127.7669
Spain,40.4637,-3.7492
Sri Lanka,7.8731,80.7718
Sudan,12.8628,30.2176
Sweden,60.1282,18.6435
Switzerland,46.8182,8.2275
Syria,34.8021,38.9968
Taiwan,23.6978,120.9605
Tanzania,-6.369,34.8888
Thailand,15.87,100.9925
Turkey,38.9637,35.2433
Uganda,1.3733,32.29
Ukraine,48.3794,31.1656
United Arab Emirates,23.4241,53.8478
United Kingdom,55.3781,-3.436
United States,37.0902,-95.7129
Uruguay,-32.5228,-55.7658
Uzbekistan,41.3775,64.5853
Venezuela,6.4238,-66.5897
Vietnam,14.0583,108.2772
Yemen,15.5527,48.5164
Zambia,-13.1339,27.8493
Zimbabwe,-19.0154,29.1549
